bus_number,operator_type,service_variant,is_ac,origin,destination,route_stops,listed_stop_count,pandal_id,pandal_name,pandal_region,pandal_latitude,pandal_longitude,nearest_metro,nearest_metro_distance_km,matched_bus_stop,mapping_method,mapping_confidence,route_data_source,pandal_data_source
3C/1,Private,Standard,False,Anandapur,Nagerbazar,Ruby;Kasba;Ballygunge Station;Gariahat;Rashbehari;Kalighat;Hazra;Bhawanipur;Rabindra Sadan;Maidan;Park Street;Esplanade;Wellington;Moulali;Sealdah;Rajabazar;Maniktala;Khanna;Shyambazar;Belgachia Metro;Bangur Avenue;Diamond Plaza,22,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3C/2,Private,Standard,False,Anandapur,Nagerbazar,Ruby;Kasba;Ballygunge Station;Gariahat;Desapriya Park;Shishu Mangal;Minto Park;Rabindra Sadan;Maidan;Park Street;Esplanade;Wellington;College Street;Hatibagan;Shyambazar;Belgachia Metro;Bangur Avenue;Diamond Plaza,18,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3D,Private,Standard,False,Sakherbazar,Milk Colony,Behala 14 No.;Taratala;Mominpore;Ekbalpur;Kidderpore;Hastings;Rabindra Sadan;Maidan;Park Street;Esplanade;Wellington;Moulali;Sealdah;Rajabazar;Maniktala;Khanna;Shyambazar;Belgachia Metro,18,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30A,Private,Standard,False,Sinthee,Esplanade,Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30B,Private,Standard,False,Gouripur,Babughat,Birati More;Airport 3 No.;Airport 1 No.;Central Jail;Nager Bazar;Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Wellington;Chandni Market;Esplanade,20,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30C,Private,Standard,False,Hatiara,Babughat,Hela Battala;Jyangra;Ashwini Nagar;Baguiati;Kestopur;Dumdum Park;Laketown;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade,19,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30D,Private,Standard,False,Dumdum Cantonment,Babughat,Central Jail;Nager Bazar;Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Wellington;Chandni Market;Esplanade,17,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
32A,Private,Standard,False,Dakshineshwar,Sector V,Dunlop;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Khanna Cinema;Ultadanga;Saltlake PNB;Saltlake CA Block;Labony Estate;Saltlake 13 Tank;Saltlake Stadium;Saltlake 14 Tank;Sushrut Hospital;Wipro More;SDF More;College More,18,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
34B,Private,Standard,False,Dunlop,Esplanade,Bonhooghly;Baranagar Bazar;Sinthee More;Chiria More;Shyambazar;Hatibagan;Hedua More;Vivekananda Road;College Street;Medical College;Bowbazar;Hind Cinema;Wellington;Chandni Market,14,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
34C,Private,Standard,False,Noapara,Esplanade,Tobin Road;Sinthee More;Chiria More;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Wellington;Chandni Market,11,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
47B,Private,Standard,False,Laketown,Dhanmath,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade;Park Street;Maidan Metro;Rabindra Sadan;Bhowanipore;Hazra More;Kalighat;Rashbehari;Rabindra Sarovar;Tollygunge Phari;Anwar Shah Road;Lake Gardens;South City;Jadavpur PS;Sapuipara;Kalikapur;EM Bypass;Ruby Hospital;Acropolis Mall,30,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
78,Private,Standard,False,Barrackpore Court,Esplanade,Titagarh;Khardah;Sodepur Girja;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,17,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
79B,Private,Standard,False,Barasat,Bagbazar,Chapadali More;Madhyamgram;Doltala More;BT College;Michael Nagar;Birati More;Airport 3 No.;Nager Bazar;Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara,16,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
93,Private,Standard,False,Kharibari,Bagbazar,Madhyamgram;Doltala More;BT College;Michael Nagar;Birati More;Airport 3 No.;Airport 1 No.;Nager Bazar;Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara,16,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
201,Private,Standard,False,Nimta,Mahisbatan,Belgharia Station;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Khanna Cinema;Ultadanga;Saltlake PNB;Karunamoyee;Wipro More;SDF More;College More,15,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
202,Private,Standard,False,Nagerbazar,Science City,Dumdum Station;Chiria More;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Mallick Bazar;Park Circus;4 No. Bridge;Topsia More,12,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214,Private,Standard,False,Sajirhat,Babughat,Sodepur Station;Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Dalhousie,15,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
214A,Private,Standard,False,Sodepur Girja,Esplanade,Kamarhati;Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,14,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
215/1,Private,Standard,False,Laketown VIP,Howrah Station,Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,10,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
219,Private,Standard,False,Nagerbazar,Howrah Station,Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Hatibagan;Hedua More;Vivekananda Road;College Street;MG Road;Barabazar,13,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
219/1,Private,Standard,False,Nagerbazar,Howrah Station,Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Barabazar,12,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
222,Private,Standard,False,Sakher Bazar,Dunlop More,Behala Chowrasta;Behala 14 No.;Majerhat;Mominpore;Kidderpore;Hastings;PTS;Rabindra Sadan;Maidan Metro;Park Street;Esplanade;Chandni Market;Central Metro;MG Road;Girish Park;Sovabazar;Shyambazar;Chiria More;Sinthee More;Tobin Road;Bonhooghly,21,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
227,Private,Standard,False,BNR Hospital,Bangur Avenue,Babubazar;Kidderpore;Hastings;PTS;Rabindra Sadan;Minto Park;Beckbagan;Mallick Bazar;Moulali;Sealdah Station;Rajabazar;Maniktala;Khanna Cinema;Shyambazar;RG Kar Hospital;Belgachia;Patipukur;Kalindi More,18,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
230,Private,Standard,False,Alipore Zoo,Kamarhati,PTS;Rabindra Sadan;Minto Park;Beckbagan;Mallick Bazar;Moulali;Sealdah Station;Rajabazar;Maniktala;Khanna Cinema;Shyambazar;Chiria More;Sinthee More;Tobin Road;Bonhooghly;Dunlop More;Rathtala More,17,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
234,Private,Standard,False,Belgharia,Golf Green,Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Mallick Bazar;Beckbagan;Minto Park;Lansdowne;Shishu Mangal;Deshapriya Park;Gariahat;Golpark;Dhakuria;Jadavpur PS;South City;Lake Gardens,24,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
234/1,Private,Standard,False,Belgharia Station,Golf Green,Rathtala More;Dunlop More;Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Hatibagan;Hedua More;Vivekananda Road;College Street;Medical College;Bowbazar;Central Metro;Chandni Market;Esplanade;Park Street;Maidan Metro;Rabindra Sadan;Bhowanipore;Hazra More;Kalighat;Rashbehari;Rabindra Sarovar;Tollygunge Phari;Anwar Shah Road;Lake Gardens,27,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
240,Private,Standard,False,Bagbazar,Golf Green,Rajballavpara;Shyambazar;Hatibagan;Hedua More;Vivekananda Road;College Street;Sealdah Station;Moulali;CIT Road;Chittaranjan Hospital;Park Circus;Quest Mall;Ballygunge Phari;Gariahat;Golpark;Dhakuria;Jadavpur PS;South City;Lake Gardens,19,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
240/1,Private,Standard,False,Bagbazar,Garia Station,Rajballavpara;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Mallick Bazar;Park Circus;Ballygunge Phari;Gariahat;Ballygunge Station;Kasba PS;Bosepukur;Acropolis Mall;Ruby Hospital;EM Bypass;Kalikapur;Mukundapur;Ajaynagar;Hiland Park;Patuli More;Dhalai Bridge,23,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-158,Private Mini,Mini,False,Dakshineshwar,Babughat,Alambazar;Baranagar Bazar;Sinthee More;Chiria More;Shyambazar;Hatibagan;Hedua More;Vivekananda Road;College Street;Medical College;Bowbazar;Central Metro;Dalhousie,13,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-159,Private Mini,Mini,False,Dunlop More,B.B.D. Bag,Bonhooghly;Tobin Road;Sinthee More;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro,10,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S-168,Private Mini,Mini,False,Nagerbazar,Howrah Station,Dumdum Station;Chiria More;Shyambazar;Rajballavpara;Sovabazar;Beadon Street;Jorabagan;Malapara;Barabazar,9,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
33,WBTC,Standard,False,Chetla,Paikpara,Paikpara;Shyambazar;Khanna;Manicktala;Sealdah;Moulali;Padmapukur;Darga Road;Bondel Gate;Hazra;Kalighat;Alipore Road;Chetla,13,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
11A,WBTC,Standard,False,Dum Dum,Howrah,Dum Dum Station;Chiria;Shyambazar;Manicktala;Bedon Square;Howrah Bridge;Howrah Station,7,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S10,WBTC,Special/Standard,False,Airport Gate 3,Nabanna Bus Terminus,Airport Gate 1;Central Jail;Nagerbazar;Diamond Plaza;Bangur;Lake Town;Patipukur;Belgachia;Shyambazar;Girishpark;MG Road;Central;Esplanade;Park Street;Maidan;Exide;PTS;Hastings,18,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S21,WBTC,Special/Standard,False,Bagbazar,Garia Bus Stand,Shyambazar;Khanna;Gouribari;Bidhannagar Station;HUDCO;Saltlake Gate;Bengal Chemical;Mani Square;Swabhumi;Saltlake Stadium;Building More;Chingrighata;Science City;Uttar Panchannagram;Fortis;Ruby Hospital;Kalikapur;Mukundapur;Ajaynagar;Hiland Park;Patuli;45 Bus Stand,22,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S32A,WBTC,Special/Standard,False,Dunlop,Howrah Station,Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Burrabazar,8,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S45,WBTC,Special/Standard,False,Kolkata Station,Shakuntala Park,Shyambazar;Khanna;Maniktala;Rajabazar;Sealdah Station;Moulali;Esplanade;Park Street;Maidan;Exide;PG Hospital;Alipur Zoo;Ekbalpur;Mominpur;Majerhat;Taratala;Behala 14 Number;Behala Chowrasta;Bakultala,19,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
AC54,WBTC,AC,True,Kamarhati Rathtala,Howrah Station,Dunlop;Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Burrabazar,9,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
S57,WBTC,Special/Standard,False,Ariadaha,Nabanna Bus Terminus,Dakshineswar;Dunlop;Tobin Road;Sinthi;Dumdum Chiriamore;Shyambazar;Sova Bazar;Girishpark;MG Road;Central;BBD Bag;Esplanade;Park Street;Maidan;Exide;PTS;Hastings,17,3,Aswiningar Sarbojanin Durgotsav,North Kolkata,22.612234,88.365123,Shyambazar,0.9,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3B,Private,Standard,False,New Alipore,Milk Colony,Durgapur Bridge;Rashbehari;Kalighat;Hazra;Bhawanipur;Rabindra Sadan;Maidan;Park Street;Esplanade;Chandni Chowk;Central;MG Road Metro;Girish Park;Shobhabazar;Shyambazar;Belgachia Metro,16,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3C/1,Private,Standard,False,Anandapur,Nagerbazar,Ruby;Kasba;Ballygunge Station;Gariahat;Rashbehari;Kalighat;Hazra;Bhawanipur;Rabindra Sadan;Maidan;Park Street;Esplanade;Wellington;Moulali;Sealdah;Rajabazar;Maniktala;Khanna;Shyambazar;Belgachia Metro;Bangur Avenue;Diamond Plaza,22,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3C/2,Private,Standard,False,Anandapur,Nagerbazar,Ruby;Kasba;Ballygunge Station;Gariahat;Desapriya Park;Shishu Mangal;Minto Park;Rabindra Sadan;Maidan;Park Street;Esplanade;Wellington;College Street;Hatibagan;Shyambazar;Belgachia Metro;Bangur Avenue;Diamond Plaza,18,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
3D,Private,Standard,False,Sakherbazar,Milk Colony,Behala 14 No.;Taratala;Mominpore;Ekbalpur;Kidderpore;Hastings;Rabindra Sadan;Maidan;Park Street;Esplanade;Wellington;Moulali;Sealdah;Rajabazar;Maniktala;Khanna;Shyambazar;Belgachia Metro,18,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30A,Private,Standard,False,Sinthee,Esplanade,Chiria More;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market,8,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30B,Private,Standard,False,Gouripur,Babughat,Birati More;Airport 3 No.;Airport 1 No.;Central Jail;Nager Bazar;Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Wellington;Chandni Market;Esplanade,20,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30C,Private,Standard,False,Hatiara,Babughat,Hela Battala;Jyangra;Ashwini Nagar;Baguiati;Kestopur;Dumdum Park;Laketown;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Rajballavpara;Sovabazar;Girish Park;MG Road;Central Metro;Chandni Market;Esplanade,19,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
30D,Private,Standard,False,Dumdum Cantonment,Babughat,Central Jail;Nager Bazar;Diamond Plaza;Bangur Avenue;Kalindi More;Patipukur;Belgachia;RG Kar Hospital;Shyambazar;Khanna Cinema;Maniktala;Rajabazar;Sealdah Station;Moulali;Wellington;Chandni Market;Esplanade,17,4,Baghbazar Palli Puja O Pradarshani,North Kolkata,22.603345,88.366289,Shyambazar,1.1,shyambazar,nearest_metro_bus_corridor,high,Kolkata Bus-O-Pedia / WBTC directory,user-provided Puja pandal dataset
